	Concentration (microg/m^3)	Year	Month	Day	Hour	Minute	SamplingPoint
120	12.69999999	2020	1	6	0	0	SPO-FI00080_00005_100
121	13.19999999	2020	1	6	1	0	SPO-FI00080_00005_100
122	11.1	2020	1	6	2	0	SPO-FI00080_00005_100
123	9.19999999	2020	1	6	3	0	SPO-FI00080_00005_100
124	6.59999999	2020	1	6	4	0	SPO-FI00080_00005_100
125	7.79999999	2020	1	6	5	0	SPO-FI00080_00005_100
126	7.4	2020	1	6	6	0	SPO-FI00080_00005_100
127	6.59999999	2020	1	6	7	0	SPO-FI00080_00005_100
128	5.5	2020	1	6	8	0	SPO-FI00080_00005_100
129	5.79999999	2020	1	6	9	0	SPO-FI00080_00005_100
130	5.29999999	2020	1	6	10	0	SPO-FI00080_00005_100
131	5.59999999	2020	1	6	11	0	SPO-FI00080_00005_100
132	5.09999999	2020	1	6	12	0	SPO-FI00080_00005_100
133	4.09999999	2020	1	6	13	0	SPO-FI00080_00005_100
134	5.7	2020	1	6	14	0	SPO-FI00080_00005_100
135	5.2	2020	1	6	15	0	SPO-FI00080_00005_100
136	5.29999999	2020	1	6	16	0	SPO-FI00080_00005_100
137	6.79999999	2020	1	6	17	0	SPO-FI00080_00005_100
138	5.5	2020	1	6	18	0	SPO-FI00080_00005_100
139	5.09999999	2020	1	6	19	0	SPO-FI00080_00005_100
140	3.7	2020	1	6	20	0	SPO-FI00080_00005_100
141	4.09999999	2020	1	6	21	0	SPO-FI00080_00005_100
142	3.2	2020	1	6	22	0	SPO-FI00080_00005_100
143	3.1	2020	1	6	23	0	SPO-FI00080_00005_100
144	3.2	2020	1	7	0	0	SPO-FI00080_00005_100
145	2.79999999	2020	1	7	1	0	SPO-FI00080_00005_100
146	2.79999999	2020	1	7	2	0	SPO-FI00080_00005_100
147	2.5	2020	1	7	3	0	SPO-FI00080_00005_100
148	2.39999999	2020	1	7	4	0	SPO-FI00080_00005_100
149	2.6	2020	1	7	5	0	SPO-FI00080_00005_100
150	2.79999999	2020	1	7	6	0	SPO-FI00080_00005_100
151	3.29999999	2020	1	7	7	0	SPO-FI00080_00005_100
152	3.7	2020	1	7	8	0	SPO-FI00080_00005_100
153	2.6	2020	1	7	9	0	SPO-FI00080_00005_100
154	2.7	2020	1	7	10	0	SPO-FI00080_00005_100
155	2.7	2020	1	7	11	0	SPO-FI00080_00005_100
156	3.79999999	2020	1	7	12	0	SPO-FI00080_00005_100
